# Dice Score, Index
0.929593,1.000000
0.983467,2.000000
0.965829,3.000000
0.970032,4.000000
0.961473,5.000000
0.951370,6.000000
0.957596,7.000000
0.939377,8.000000
0.944462,9.000000
0.953812,10.000000
0.954418,11.000000
0.956759,12.000000
0.955876,13.000000
0.967454,14.000000
0.965944,15.000000
0.955200,16.000000
0.960745,17.000000
0.903915,18.000000
0.868967,19.000000
0.955424,21.000000
0.949954,22.000000
0.933442,23.000000
0.926989,24.000000
0.941468,25.000000
0.931430,26.000000
0.937522,27.000000
0.826888,28.000000
0.938040,29.000000
0.951425,30.000000
0.896038,31.000000
0.937938,32.000000
0.952727,33.000000
0.649278,34.000000
0.958744,35.000000
0.958308,36.000000
0.950715,37.000000
0.958792,38.000000
0.955248,39.000000
0.949026,40.000000
0.947557,41.000000
0.859905,42.000000
0.955723,44.000000
0.941547,45.000000
0.961324,46.000000
0.948580,47.000000
0.933635,48.000000
0.938157,49.000000
0.942996,50.000000
0.953134,51.000000
0.905634,52.000000
0.930130,53.000000
0.922372,54.000000
0.938019,56.000000
0.812643,57.000000
0.956478,58.000000
0.946953,59.000000
0.929800,60.000000
0.940953,61.000000
0.953258,62.000000
0.937009,63.000000
0.937511,64.000000
0.946795,67.000000
0.946876,68.000000
0.928998,69.000000
0.871386,70.000000
0.922932,71.000000
0.950767,72.000000
0.782802,73.000000
0.939695,75.000000
0.941161,76.000000
0.947528,77.000000
0.947590,79.000000
0.929945,80.000000
0.902520,81.000000
0.940990,82.000000
0.953854,83.000000
0.950806,84.000000
0.941138,85.000000
0.972731,86.000000
0.933111,87.000000
0.949027,88.000000
0.934984,89.000000
0.936013,90.000000
0.934195,91.000000
0.951637,92.000000
0.925021,93.000000
0.939360,94.000000
0.949676,95.000000
0.950748,96.000000
0.946648,97.000000
0.921347,98.000000
0.946273,99.000000
0.941450,100.000000
0.965596,101.000000
0.950099,102.000000
0.936310,103.000000
0.963739,104.000000
0.964362,105.000000
0.963179,106.000000
0.957977,107.000000
0.952861,108.000000
0.953153,109.000000
0.961697,110.000000
0.955798,111.000000
0.954470,112.000000
0.940961,113.000000
0.947056,114.000000
0.934836,115.000000
0.929720,116.000000
0.956097,117.000000
0.926192,118.000000
0.934692,119.000000
0.946138,120.000000
0.952758,121.000000
0.967208,122.000000
0.951074,123.000000
0.956388,124.000000
0.953972,125.000000
0.936186,126.000000
0.923774,127.000000
0.953152,128.000000
0.646513,129.000000
0.949025,130.000000
